original_name,translated_name,HCAT4_code,HCAT4_name
Küchenkräuter/Heil-und Gewürzpflanzen,kitchen herbs/healing and spice plants,3310612000,aromatic_medicinal_culinary_plants_spices_herbs
Silphium (Durchwachsene Silphie),silphium,3310844000,silphium_rosinweeds
Brennnesseln,nettles,3310612250,nettles
Chinaschilf (Miscanthus),silvergrass,3310617030,miscanthus_silvergrass
"Staudenknöterich, Igniscum",Igniscum,3310617010,igniscum_candy
Sonstige Energiepflanze (Acker),Other energy crops (field),3310617000,energy_crops
Virginiamalve/Sida,Virginia Mallow,3310617020,sida_virginia_mallow
andere Handelsgewächse,other commercial plants,3310600000,industrial_nonfood_crops
Gemüse,vegetables,3310700000,fresh_vegetables
Topinambur,Jerusalem artichoke,3310705000,topinambur_jerusalem_artichoke
Gemüse in Substrat/ohne Bodenkontakt,vegetables in substrate/without soil contact,3310700000,fresh_vegetables
"Zichorien/Wegwarten (Chicoree, Radiccio, kraus-/ganzblättrige Endivie)","chicory, radicchio, curly and whole-leaf endive",3310717010,chicory_chicories
Pilzbeet- und Gemüse in Gebäuden (nicht im Gewächshaus),mushrooms and vegetables in buildings (not in greenhouse),3390000000,not_known_and_other
Erdbeeren,strawberries,3310701000,strawberries
sonstige Schalenfrüchte,other nuts,3330300000,nuts
Quinoa,quinoa,3310703030,quinoa
Amarant (Amarant/Fuchsschwanz),amaranth,3310703010,amaranth
Buchweizen,buckwheat,3310703020,buckwheat
Spargel,asparagus,3310706000,asparagus
Rhabarber,rhubarb,3310709000,rhubarb
Artischocke,artichoke,3310713000,artichoke
Futterrüben (Runkelrüben),fodder beets (red beets),3310719020,mangelwurzel_beets
Wurzelzichorien,Root chicory,3310717010,chicory_chicories
Zuckerrüben,sugar beets,3310719010,sugar_beet
Kartoffeln (Speise),potatoes (for eating),3310720000,potatoes
Pflanzkartoffeln,planting potatoes,3310720000,potatoes
Stärkekartoffeln,starchy potatoes,3310720000,potatoes
Süßkartoffeln,sweet potatoes,3310721000,sweet_potatoes
Kern- und Steinobst,stone and pitted fruits,3330100000,orchards_fruits
Brache mit jährlicher Neueinsaat von Blühmischungen (inkl. überjähriger FAKT-Blühmischungen),Fallow land with annual reseeding of flowering mixtures (incl. perennial FAKT flowering mixtures),3310800000,flowers_ornamental_plants
Zierpflanzen,ornamental plants,3310800000,flowers_ornamental_plants
Blühfläche,flowering area,3310800000,flowers_ornamental_plants
Zierpflanzen in Substrat/ohne Bodenkontakt,ornamental plants in substrate/without soil contact,3310800000,flowers_ornamental_plants
Ackerland aus der Erzeugung genommen,fallow land not crop,3311100000,fallow_land_not_crop
Streifen am Waldrand (ohne Produktion) ÖVF,stripes at the edge of the forest (without production) ÖVF,3390000000,not_known_and_other
Mehrjährige Brache mit Honigpflanzen ÖVF,perennial fallow land with honey plants,3311100000,fallow_land_not_crop
Biotope ohne landwirtschaftliche Nutzung (AUKM),fallow land without agricultural use,3311100000,fallow_land_not_crop
Einjährige Brache mit Honigpflanzen nicht ÖVF,One-year fallow land with honey plants not ÖVF,3311100000,fallow_land_not_crop
Stillgelegte Ackerflächen nach LPR,Fallow land after LPR,3311100000,fallow_land_not_crop
Mehrjährige Brache mit Honigpflanzen nicht ÖVF,Long-term fallow land with honey plants not ÖVF,3311100000,fallow_land_not_crop
Nicht mehr landwirtschaftliche genutzte betriebsprämienfähige Fläche,land no longer used for agricultural crops,3370000000,unmaintained
"Hecken, Knicks ÖVF (CC-LE)","hedges, knicks organic farming association (CC-LE)",3390000000,not_known_and_other
Feldrand/Pufferstreifen ÖVF AL,field margin/buffer strip organic farming association,3390000000,not_known_and_other
Feldgehölze ÖVF (CC-LE),field hedges ÖVF (CC-LE),3390000000,not_known_and_other
Feldrand/Pufferstreifen ÖVF GL,field margin/buffer strip organic farming association GL,3390000000,not_known_and_other
Dauerkultur aus der Erzeugung genommen,permanent crops,3330000000,permanent_crops_perennial
"Phacelia (als Hauptkultur, z.B. Saatgutvermehrung)","Phacelia (as main crop, e.g. seed multiplication)",3311300000,phacelia
Ackergras,field grass,3320000000,grassland_grass
Wiesen (einschl. Streuobstwiesen),meadows (including orchard grass),3320100000,permanent_grassland
"Kleegras, Luzerne-Gras-Gemenge","Clover, Alfalfa-grass mixture",3310200000,legumes
Mähweiden,mown meadows,3320100000,permanent_grassland
Streuwiesen,meadows,3320100000,permanent_grassland
Koppelschafweiden,Sheep Pasture Meadows,3320100000,permanent_grassland
Grassamenvermehrung,grass seed multiplication,3320200000,temporary_grassland
Rollrasen,lawn,3320201070,sod_turf
Rohrglanzgras,Reed grass,3320209900,other_poaceae_grasses
Dauergrünland aus der Erzeugung genommen,Permanent grassland taken out of production,3320100000,permanent_grassland
Wiesen (Grünlandneueinsaat weniger als 5 Jahre zurückliegend),Meadows (grassland reseeded less than 5 years ago),3320100000,permanent_grassland
Biotope mit landwirtschaftlicher Nutzung - Dauergrünland/Flächen mit LPR-Extensivierungsvertrag,Biotopes with agricultural use - Permanent grassland/areas with LPR extensification contract,3320100000,permanent_grassland
Stillgelegte Dauergrünlandflächen nach LPR,Abandoned Permanent Grassland according to LPR,3320100000,permanent_grassland
Weiden (Grünlandneueinsaat weniger als 5 Jahre zurückliegend),Pastures (grassland reseeded less than 5 years ago),3320100000,permanent_grassland
Mähweiden (Grünlandneueinsaat weniger als 5 Jahre zurückliegend),Mown pastures (grassland reseeded less than 5 years ago),3320100000,permanent_grassland
Sommerschafweiden,summer sheep pastures,3320100000,permanent_grassland
Streuobst (ohne Wiesennutzung),orchards (without meadow use),3330100000,orchards_fruits
unbestockte Obstbaufläche,unstocked orchard area,3330100000,orchards_fruits
"Sonstige Obstanlagen (z.B. Holunder, Sanddorn)","other fruit orchards (e.g. elderberry, sea buckthorn)",3330100000,orchards_fruits
"Beerenobst (z.B. Johannis-, Stachel-, Himbeeren)","Berries (e.g. currants, gooseberries, raspberries)",3330200000,berries_berry_species
Beerenobst zur Vermehrung (in Baumschulen),berry crops for propagation (in nurseries),3330200000,berries_berry_species
Walnüsse,walnuts,3330306000,walnuts
Haselnüsse,hazelnuts,3330302000,hazelnuts_hazel
Bestockte Rebfläche,Vineyards with wine grapes,3330600000,vineyards_wine_vine_rebland_grapes
Unbestockte Rebfläche,unstocked vineyard area,3330600000,vineyards_wine_vine_rebland_grapes
"Baumschulen, nicht für Beerenobst","tree nurseries, not for berry crops",3330700000,nurseries_nursery
Sonstige Dauerkulturen,Other Permanent Crops,3330000000,permanent_crops_perennial
Basis-/Betriebsprämienfähige aufgeforstete Flächen nach Erstaufforstung-/Einkommensverlustprämie,Areas reforested after first afforestation/income loss premium,3360100000,afforestation_reforestation
Weiden,Pastures,3320100000,permanent_grassland
Feuchtgebiete ÖVF (CC-LE),wetlands,3390000000,not_known_and_other
Tafeltrauben,table grapes,3330600000,vineyards_wine_vine_rebland_grapes
Fels-und Steinriegel ÖVF (CC-LE),Rock and Stone Rye (CC-LE),3390000000,not_known_and_other
Mischkulturen mit Saatgutmischung,mixed crops with seed mixture,3311000000,seed_seedlings
Almen und Alpen,Alpine meadows,3320100000,permanent_grassland
"Sommerrübsen (Rübsen, Rübsamen, Rübsaat)",Summer turnip rape (Brassica Rapa),3310604013,summer_rapeseed_rape
"Trockenmauer, Lesesteinwälle ÖVF (CC-LE)",dry stone walls,3390000000,not_known_and_other
Pflanzenmischung mit Hanf,mix of crops with hemp,3310610000,hemp_cannabis
